number,study,Es_id,Type,site,Eutrophication,TN_mg_L,TP_mg_L,TN_TP,Chl.a_ug_L,TN_r1,TN_r2,TP_r1,TP_r2,TN_TP_r,Chl.a_r,T_C,SD_cm,DO,Data_Ioc,lnR
482,Zheng33,33,Lake,Qingjing Lake,Hyper,3.93,0.1,39.3,54.67,0.75,1.4,0.025,0.05,16,7,NA,30,NA,T1,1.245745396
483,Zheng33,33,Lake,Qingjing Lake,Hyper,2.76,0.08,34.5,49.85,0.75,1.4,0.025,0.05,16,7,NA,32.5,NA,T1,1.153448779
484,Zheng33,33,Lake,Qingjing Lake,Hyper,5.92,0.09,65.78,39.11,0.75,1.4,0.025,0.05,16,7,NA,33,NA,T1,0.910808472
485,Zheng33,33,Lake,Qingjing Lake,Eutro,6.35,0.19,33.42,97.2,0.75,1.4,0.025,0.05,16,7,NA,28.75,NA,T1,1.821200994
486,Zheng33,33,Lake,Qingjing Lake,Hyper,6.18,0.25,24.72,127.9,0.75,1.4,0.025,0.05,16,7,NA,28,NA,T1,2.095678992
487,Zheng33,33,Lake,Qingjing Lake,Hyper,4.62,0.3,15.4,79.67,0.75,1.4,0.025,0.05,16,7,NA,32.5,NA,T1,1.622323386
488,Zheng33,33,Lake,Qingjing Lake,Hyper,3.82,0.3,12.73,115.15,0.75,1.4,0.025,0.05,16,7,NA,25,NA,T1,1.990665909
489,Zheng33,33,Lake,Qingjing Lake,Hyper,4.51,0.29,15.55,99.88,0.75,1.4,0.025,0.05,16,7,NA,21.67,NA,T1,1.848399748
490,Rao34,34,Lake,Luhu Lake,Hyper,1.44,0.088,16.36,40.6,0.75,1.4,0.025,0.05,16,7,20.9,38.3,7.38,ST1,0.61728143
491,Rao34,34,Lake,Luhu Lake,Hyper,2.83,0.139,20.36,56.6,0.75,1.4,0.025,0.05,16,7,20.8,33.3,6.86,ST1,0.949522348
492,Rao34,34,Lake,Luhu Lake,Eutro,1.84,0.06,30.67,23.3,0.75,1.4,0.025,0.05,16,7,20.6,45,7.32,ST1,0.061966724
493,Rao34,34,Lake,Luhu Lake,Eutro,1.6,0.069,23.19,21.9,0.75,1.4,0.025,0.05,16,7,20.7,30.8,7.26,ST1,0
494,Rao34,34,Lake,Luhu Lake,Eutro,1.23,0.07,17.57,44.3,0.75,1.4,0.025,0.05,16,7,20.5,40.4,7.58,ST1,0.70449804
495,Rao34,34,Lake,Luhu Lake,Hyper,1.28,0.08,16,88.8,0.75,1.4,0.025,0.05,16,7,22,59.6,10.1,ST1,1.399900013
496,Liu35,35,Lake,Songhua Lake,Oligo-meso,1.37,0.035,39.14,2.9,0.75,1.4,0.025,0.05,16,7,NA,230,NA,T2,0.140451835
497,Liu35,35,Lake,Songhua Lake,Oligo-meso,1.54,0.049,31.43,3.26,0.75,1.4,0.025,0.05,16,7,NA,143,NA,T2,0.257468294
498,Liu35,35,Lake,Songhua Lake,Oligo-meso,1.7,0.074,22.97,2.52,0.75,1.4,0.025,0.05,16,7,NA,120,NA,T2,0
499,Liu35,35,Lake,Songhua Lake,Oligo-meso,1.55,0.097,15.98,4.53,0.75,1.4,0.025,0.05,16,7,NA,80,NA,T2,0.586463038
500,Liu35,35,Lake,Songhua Lake,Oligo-meso,1.58,0.105,15.05,6.62,0.75,1.4,0.025,0.05,16,7,NA,60,NA,T2,0.965836468
501,Shi36,36,Lake,Taihu Lake,Eutro,3.44012,0.0676216,50.87,18.824,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.220093596
502,Shi36,36,Lake,Taihu Lake,Eutro,3.89778,0.104667,37.24,20.8889,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.324178862
503,Shi36,36,Lake,Taihu Lake,Eutro,4.37661,0.125495,34.87,21.6338,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.359217851
504,Shi36,36,Lake,Taihu Lake,Eutro,2.42097,0.108775,22.26,22.9629,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.418840815
505,Shi36,36,Lake,Taihu Lake,Eutro,7.3998,0.119982,61.67,21.207,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.33929226
506,Shi36,36,Lake,Taihu Lake,Eutro,4.2506,0.143441,29.63,23.7138,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.451018102
507,Shi36,36,Lake,Taihu Lake,Eutro,6.61048,0.150216,44.01,17.1032,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.124226525
508,Shi36,36,Lake,Taihu Lake,Eutro,3.82419,0.138847,27.54,22.1098,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.380981894
509,Shi36,36,Lake,Taihu Lake,Eutro,2.96633,0.183856,16.13,26.6748,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.568680244
510,Shi36,36,Lake,Taihu Lake,Eutro,3.74859,0.152757,24.54,24.482,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.482899098
511,Shi36,36,Lake,Taihu Lake,Eutro,2.93407,0.140306,20.91,16.988,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.117468157
512,Shi36,36,Lake,Taihu Lake,Eutro,3.03387,0.211874,14.32,29.4931,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.669117282
513,Shi36,36,Lake,Taihu Lake,Eutro,2.45726,0.123694,19.87,20.5297,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.306833563
514,Shi36,36,Lake,Taihu Lake,Eutro,1.92298,0.195856,9.82,25.6834,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.530805813
515,Shi36,36,Lake,Taihu Lake,Eutro,1.76875,0.15173,11.66,15.1052,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0
516,Shi36,36,Lake,Taihu Lake,Eutro,2.49052,0.153081,16.27,26.728,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.57067265
517,Shi36,36,Lake,Taihu Lake,Eutro,1.7244,0.0861802,20.01,25.7048,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.531638689
518,Shi36,36,Lake,Taihu Lake,Eutro,2.84032,0.138234,20.55,26.3002,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.554537488
519,Shi36,36,Lake,Taihu Lake,Eutro,1.52681,0.160523,9.51,26.7489,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.571454296
520,Shi36,36,Lake,Taihu Lake,Eutro,2.40988,0.126036,19.12,26.0229,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.543937864
521,Shi36,36,Lake,Taihu Lake,Eutro,1.8625,0.126991,14.67,15.1469,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.002756835
522,Shi36,36,Lake,Taihu Lake,Eutro,3.0752,0.178829,17.2,24.5648,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.486275469
523,Shi36,36,Lake,Taihu Lake,Eutro,2.75867,0.137586,20.05,23.9838,0.75,1.4,0.025,0.05,16,7,NA,NA,NA,F7,0.462339547
524,Chen37,37,Lake,Erhai lake,Oligo-meso,0.266667,0.0104651,25.48,1.12422,0.75,1.4,0.025,0.05,16,7,NA,288,NA,F2,0
525,Chen37,37,Lake,Erhai lake,Oligo-meso,0.252632,0.0144186,17.52,1.31056,0.75,1.4,0.025,0.05,16,7,NA,329,NA,F2,0.153365065
526,Chen37,37,Lake,Erhai lake,Oligo-meso,0.245614,0.0118605,20.71,1.29814,0.75,1.4,0.025,0.05,16,7,NA,345,NA,F2,0.143843009
527,Chen37,37,Lake,Erhai lake,Oligo-meso,0.284211,0.0202326,14.05,1.31056,0.75,1.4,0.025,0.05,16,7,NA,431,NA,F2,0.153365065
528,Chen37,37,Lake,Erhai lake,Oligo-meso,0.178947,0.0139535,12.82,2.59627,0.75,1.4,0.025,0.05,16,7,NA,412,NA,F2,0.836986338
529,Chen37,37,Lake,Erhai lake,Oligo-meso,0.329825,0.0172093,19.17,1.32919,0.75,1.4,0.025,0.05,16,7,NA,357,NA,F2,0.167480272
530,Chen37,37,Lake,Erhai lake,Oligo-meso,0.22807,0.0160465,14.21,2.45342,0.75,1.4,0.025,0.05,16,7,NA,324,NA,F2,0.780393508
531,Chen37,37,Lake,Erhai lake,Oligo-meso,0.242105,0.0146512,16.52,2.47205,0.75,1.4,0.025,0.05,16,7,NA,355,NA,F2,0.787958304
532,Chen37,37,Lake,Erhai lake,Oligo-meso,0.298246,0.02,14.91,2.63975,0.75,1.4,0.025,0.05,16,7,NA,355,NA,F2,0.853594754
533,Chen37,37,Lake,Erhai lake,Oligo-meso,0.231579,0.02,11.58,2.46584,0.75,1.4,0.025,0.05,16,7,NA,304,NA,F2,0.785443058
534,Chen37,37,Lake,Erhai lake,Oligo-meso,0.357895,0.0253488,14.12,2.80124,0.75,1.4,0.025,0.05,16,7,NA,353,NA,F2,0.912972714
535,Chen37,37,Lake,Erhai lake,Oligo-meso,0.294737,0.0248837,11.84,3.4472,0.75,1.4,0.025,0.05,16,7,NA,306,NA,F2,1.120472845
536,Chen37,37,Lake,Erhai lake,Oligo-meso,0.259649,0.0244186,10.63,3.61491,0.75,1.4,0.025,0.05,16,7,NA,288,NA,F2,1.167977497
537,Chen37,37,Lake,Erhai lake,Oligo-meso,0.368421,0.0206977,17.8,5.22981,0.75,1.4,0.025,0.05,16,7,NA,351,NA,F2,1.537285487
538,Chen37,37,Lake,Erhai lake,Eutro,0.4,0.0281395,14.21,5.86335,0.75,1.4,0.025,0.05,16,7,NA,184,NA,F2,1.651631651
539,Chen37,37,Lake,Erhai lake,Eutro,0.484211,0.022093,21.92,13.0124,0.75,1.4,0.025,0.05,16,7,NA,210,NA,F2,2.448813287
540,Chen37,37,Lake,Erhai lake,Eutro,0.550877,0.0204651,26.92,9.93789,0.75,1.4,0.025,0.05,16,7,NA,186,NA,F2,2.179265263
541,Chen37,37,Lake,Erhai lake,Eutro,0.582456,0.0234884,24.8,12.6832,0.75,1.4,0.025,0.05,16,7,NA,184,NA,F2,2.423188821
542,Chen37,37,Lake,Erhai lake,Eutro,0.614035,0.0227907,26.94,12.2236,0.75,1.4,0.025,0.05,16,7,NA,173,NA,F2,2.386279048
543,Chen37,37,Lake,Erhai lake,Eutro,0.533333,0.02,26.67,14.3043,0.75,1.4,0.025,0.05,16,7,NA,184,NA,F2,2.54347073
544,Chen37,37,Lake,Erhai lake,Eutro,0.414035,0.017907,23.12,16.441,0.75,1.4,0.025,0.05,16,7,NA,167,NA,F2,2.682688753
545,Chen37,37,Lake,Erhai lake,Eutro,0.564912,0.0218605,25.84,20.323,0.75,1.4,0.025,0.05,16,7,NA,155,NA,F2,2.894663788
546,Chen37,37,Lake,Erhai lake,Eutro,0.501754,0.0206977,24.24,16.1118,0.75,1.4,0.025,0.05,16,7,NA,169,NA,F2,2.662462461
547,Chen37,37,Lake,Erhai lake,Eutro,0.536842,0.0244186,21.98,13.2236,0.75,1.4,0.025,0.05,16,7,NA,186,NA,F2,2.46491365
548,Chen37,37,Lake,Erhai lake,Eutro,0.519298,0.0239535,21.68,14.5155,0.75,1.4,0.025,0.05,16,7,NA,184,NA,F2,2.558127582
549,Chen37,37,Lake,Erhai lake,Eutro,0.519298,0.0274419,18.92,11.9441,0.75,1.4,0.025,0.05,16,7,NA,180,NA,F2,2.363147971
550,Li38,38,Lake,Taihu Lake,Eutro,0.731777,0.0266732,27.43,16.3929,0.75,1.4,0.025,0.05,16,7,16.39,NA,NA,F1,0.060625384
551,Li38,38,Lake,Taihu Lake,Eutro,0.921048,0.0309978,29.71,17.1964,0.75,1.4,0.025,0.05,16,7,17.2,NA,NA,F1,0.10847713
552,Li38,38,Lake,Taihu Lake,Eutro,1.63108,0.0282128,57.81,17.5,0.75,1.4,0.025,0.05,16,7,17.5,NA,NA,F1,0.125977951
553,Li38,38,Lake,Taihu Lake,Eutro,1.12422,0.0449424,25.01,17.4821,0.75,1.4,0.025,0.05,16,7,17.48,NA,NA,F1,0.12495457
554,Li38,38,Lake,Taihu Lake,Eutro,1.33452,0.0503653,26.5,17.6964,0.75,1.4,0.025,0.05,16,7,17.7,NA,NA,F1,0.137138299
555,Li38,38,Lake,Taihu Lake,Eutro,2.50116,0.063545,39.36,16.9464,0.75,1.4,0.025,0.05,16,7,16.95,NA,NA,F1,0.093832492
556,Li38,38,Lake,Taihu Lake,Eutro,1.49492,0.0725668,20.6,17.9107,0.75,1.4,0.025,0.05,16,7,17.91,NA,NA,F1,0.14917537
557,Li38,38,Lake,Taihu Lake,Eutro,1.68098,0.0733023,22.93,16.8571,0.75,1.4,0.025,0.05,16,7,16.86,NA,NA,F1,0.088549003
558,Li38,38,Lake,Taihu Lake,Eutro,1.9141,0.121814,15.71,18.1607,0.75,1.4,0.025,0.05,16,7,18.16,NA,NA,F1,0.163036989
559,Li38,38,Lake,Taihu Lake,Eutro,2.2128,0.0666928,33.18,16.9643,0.75,1.4,0.025,0.05,16,7,16.96,NA,NA,F1,0.094888206
560,Li38,38,Lake,Taihu Lake,Eutro,2.35822,0.0869037,27.14,18.3929,0.75,1.4,0.025,0.05,16,7,18.39,NA,NA,F1,0.175741791
561,Li38,38,Lake,Taihu Lake,Eutro,2.80699,0.0983182,28.55,18.0357,0.75,1.4,0.025,0.05,16,7,18.04,NA,NA,F1,0.156130197
562,Li38,38,Lake,Taihu Lake,Eutro,2.93067,0.111439,26.3,17.5893,0.75,1.4,0.025,0.05,16,7,17.59,NA,NA,F1,0.131067833
563,Li38,38,Lake,Taihu Lake,Eutro,2.35716,0.105143,22.42,15.4286,0.75,1.4,0.025,0.05,16,7,15.43,NA,NA,F1,0
564,Li38,38,Lake,Taihu Lake,Eutro,2.13474,0.0906399,23.55,18.8571,0.75,1.4,0.025,0.05,16,7,18.86,NA,NA,F1,0.200666571
565,Li38,38,Lake,Taihu Lake,Eutro,2.60488,0.129051,20.18,17.5714,0.75,1.4,0.025,0.05,16,7,17.57,NA,NA,F1,0.13004965
566,Li38,38,Lake,Taihu Lake,Eutro,2.37854,0.112165,21.21,16.1429,0.75,1.4,0.025,0.05,16,7,16.14,NA,NA,F1,0.045257395
567,Li38,38,Lake,Taihu Lake,Eutro,2.70077,0.0864624,31.24,17.7143,0.75,1.4,0.025,0.05,16,7,17.71,NA,NA,F1,0.138149293
568,Li38,38,Lake,Taihu Lake,Eutro,2.86687,0.0801961,35.75,17.8929,0.75,1.4,0.025,0.05,16,7,17.89,NA,NA,F1,0.148181056
569,Li38,38,Lake,Taihu Lake,Eutro,2.8576,0.0875116,32.65,17.8571,0.75,1.4,0.025,0.05,16,7,17.86,NA,NA,F1,0.146178258
570,Li38,38,Lake,Taihu Lake,Eutro,3.98253,0.0865212,46.03,17.3929,0.75,1.4,0.025,0.05,16,7,17.39,NA,NA,F1,0.119839147
571,Li38,38,Lake,Taihu Lake,Eutro,4.86687,0.100201,48.57,18.6607,0.75,1.4,0.025,0.05,16,7,18.66,NA,NA,F1,0.190196778
572,Li38,38,Lake,Taihu Lake,Eutro,5.20727,0.157548,33.05,18.7679,0.75,1.4,0.025,0.05,16,7,18.77,NA,NA,F1,0.195925034
573,Li38,38,Lake,Taihu Lake,Eutro,3.67849,0.0818044,44.97,17.9643,0.75,1.4,0.025,0.05,16,7,17.96,NA,NA,F1,0.152163525
574,Li38,38,Lake,Taihu Lake,Eutro,3.21511,0.0619662,51.88,18.8036,0.75,1.4,0.025,0.05,16,7,18.8,NA,NA,F1,0.197825411
575,Li38,38,Lake,Taihu Lake,Eutro,2.8159,0.0504633,55.8,18.2679,0.75,1.4,0.025,0.05,16,7,18.27,NA,NA,F1,0.168922491
576,Li38,38,Lake,Taihu Lake,Eutro,2.06844,0.0547193,37.8,19.3214,0.75,1.4,0.025,0.05,16,7,19.32,NA,NA,F1,0.22499036
577,Li39,39,Lake,Taihu Lake,Oligo-meso,5.86207,0.158228,37.05,5.86207,0.75,1.4,0.025,0.05,16,7,4.83,NA,NA,F2,0.961411036
578,Li39,39,Lake,Taihu Lake,Oligo-meso,6.55172,0.115823,56.57,6.55172,0.75,1.4,0.025,0.05,16,7,7.24,NA,NA,F2,1.072635863
579,Li39,39,Lake,Taihu Lake,Eutro,7.06897,0.157595,44.86,7.06897,0.75,1.4,0.025,0.05,16,7,10.34,NA,NA,F2,1.148623036
580,Li39,39,Lake,Taihu Lake,Oligo-meso,5.86207,0.148101,39.58,5.86207,0.75,1.4,0.025,0.05,16,7,17.24,NA,NA,F2,0.961411036
581,Li39,39,Lake,Taihu Lake,Oligo-meso,4.31034,0.140506,30.68,4.31034,0.75,1.4,0.025,0.05,16,7,22.24,NA,NA,F2,0.65392504
582,Li39,39,Lake,Taihu Lake,Oligo-meso,4.31034,0.15,28.74,4.31034,0.75,1.4,0.025,0.05,16,7,24.83,NA,NA,F2,0.65392504
583,Li39,39,Lake,Taihu Lake,Oligo-meso,3.27586,0.184177,17.79,3.27586,0.75,1.4,0.025,0.05,16,7,29.83,NA,NA,F2,0.379488682
584,Li39,39,Lake,Taihu Lake,Oligo-meso,2.75862,0.189873,14.53,2.75862,0.75,1.4,0.025,0.05,16,7,28.97,NA,NA,F2,0.207638807
585,Li39,39,Lake,Taihu Lake,Oligo-meso,2.24138,0.16519,13.57,2.24138,0.75,1.4,0.025,0.05,16,7,25.52,NA,NA,F2,0
586,Li39,39,Lake,Taihu Lake,Oligo-meso,3.62069,0.139873,25.89,3.62069,0.75,1.4,0.025,0.05,16,7,20.69,NA,NA,F2,0.479572868
587,Li39,39,Lake,Taihu Lake,Oligo-meso,3.7931,0.13481,28.14,3.7931,0.75,1.4,0.025,0.05,16,7,13.97,NA,NA,F2,0.526091879
588,Li39,39,Lake,Taihu Lake,Oligo-meso,4.82759,0.13038,37.03,4.82759,0.75,1.4,0.025,0.05,16,7,7.93,NA,NA,F2,0.767255631
589,Wang40,40,Lake,Taihu Lake,Hyper,6.25,0.201,31.09,126.6,0.75,1.4,0.025,0.05,16,7,15.9,NA,9.34,T2,2.331433247
590,Wang40,40,Lake,Taihu Lake,Hyper,4.22,0.194,21.75,67.7,0.75,1.4,0.025,0.05,16,7,17.5,NA,8.11,T2,1.705486918
591,Wang40,40,Lake,Taihu Lake,Hyper,2.91,0.126,23.1,37.4,0.75,1.4,0.025,0.05,16,7,16,NA,9.09,T2,1.112071442
592,Wang40,40,Lake,Taihu Lake,Eutro,1.3,0.057,22.81,15.2,0.75,1.4,0.025,0.05,16,7,17.4,NA,9.37,T2,0.211696165
593,Wang40,40,Lake,Taihu Lake,Eutro,1.44,0.087,16.55,19.8,0.75,1.4,0.025,0.05,16,7,17.1,NA,9.25,T2,0.476082675
594,Wang40,40,Lake,Taihu Lake,Hyper,6.38,0.203,31.43,85.25,0.75,1.4,0.025,0.05,16,7,18.7,NA,8.52,T2,1.935988854
595,Wang40,40,Lake,Taihu Lake,Hyper,3.94,0.153,25.75,47.2,0.75,1.4,0.025,0.05,16,7,18.4,NA,8.56,T2,1.34479463
596,Wang40,40,Lake,Taihu Lake,Hyper,2.71,0.119,22.77,38.9,0.75,1.4,0.025,0.05,16,7,18.2,NA,8.99,T2,1.151394988
597,Wang40,40,Lake,Taihu Lake,Eutro,0.99,0.055,18,15.7,0.75,1.4,0.025,0.05,16,7,17.7,NA,10.15,T2,0.24406145
598,Wang40,40,Lake,Taihu Lake,Eutro,1.44,0.076,18.95,20.3,0.75,1.4,0.025,0.05,16,7,18,NA,9.38,T2,0.501021624
599,Wang40,40,Lake,Taihu Lake,Hyper,7.53,0.184,40.92,64.4,0.75,1.4,0.025,0.05,16,7,18.9,NA,6.7,T2,1.655514371
600,Wang40,40,Lake,Taihu Lake,Hyper,4.31,0.154,27.99,39.1,0.75,1.4,0.025,0.05,16,7,18.4,NA,7.4,T2,1.156523205
601,Wang40,40,Lake,Taihu Lake,Hyper,2.83,0.099,28.59,30.6,0.75,1.4,0.025,0.05,16,7,18.3,NA,8.94,T2,0.911400747
602,Wang40,40,Lake,Taihu Lake,Eutro,1.31,0.057,22.98,17.1,0.75,1.4,0.025,0.05,16,7,18.7,NA,9.42,T2,0.329479201
603,Wang40,40,Lake,Taihu Lake,Eutro,1.53,0.052,29.42,12.3,0.75,1.4,0.025,0.05,16,7,18.1,NA,9.73,T2,0
604,Wang40,40,Lake,Taihu Lake,Hyper,7.09,0.132,53.71,37.8,0.75,1.4,0.025,0.05,16,7,19,NA,7.04,T2,1.12270984
605,Wang40,40,Lake,Taihu Lake,Eutro,4.79,0.109,43.94,26,0.75,1.4,0.025,0.05,16,7,18.3,NA,7.45,T2,0.748497276
606,Wang40,40,Lake,Taihu Lake,Eutro,3.79,0.104,36.44,21.6,0.75,1.4,0.025,0.05,16,7,19,NA,8.81,T2,0.563094052
607,Wang40,40,Lake,Taihu Lake,Eutro,1.75,0.059,29.66,22.5,0.75,1.4,0.025,0.05,16,7,18.4,NA,9.73,T2,0.603916047
608,Wang40,40,Lake,Taihu Lake,Eutro,2.05,0.049,41.84,18.8,0.75,1.4,0.025,0.05,16,7,18.5,NA,9.7,T2,0.424257607
609,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.91,0.008,113.75,1.99,0.75,1.4,0.025,0.05,16,7,NA,960,NA,T2,0.497514279
610,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.92,0.011,83.64,2.43,0.75,1.4,0.025,0.05,16,7,NA,880,NA,T2,0.697270898
611,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.92,0.012,76.67,2.37,0.75,1.4,0.025,0.05,16,7,NA,600,NA,T2,0.672269596
612,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.92,0.014,65.71,2.33,0.75,1.4,0.025,0.05,16,7,NA,550,NA,T2,0.655247908
613,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.63,0.008,78.75,1.5,0.75,1.4,0.025,0.05,16,7,NA,550,NA,T2,0.214844748
614,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.85,0.017,50,1.76,0.75,1.4,0.025,0.05,16,7,NA,350,NA,T2,0.374693449
615,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.17,0.029,40.34,2.95,0.75,1.4,0.025,0.05,16,7,NA,300,NA,T2,0.891184811
616,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.08,0.016,67.5,2.28,0.75,1.4,0.025,0.05,16,7,NA,600,NA,T2,0.633555083
617,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.92,0.014,65.71,2.2,0.75,1.4,0.025,0.05,16,7,NA,600,NA,T2,0.597837001
618,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.85,0.015,56.67,1.59,0.75,1.4,0.025,0.05,16,7,NA,650,NA,T2,0.273113657
619,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.95,0.012,79.17,2.19,0.75,1.4,0.025,0.05,16,7,NA,900,NA,T2,0.593281184
620,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.92,0.015,61.33,2.01,0.75,1.4,0.025,0.05,16,7,NA,550,NA,T2,0.507514362
621,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.18,0.027,43.7,2.27,0.75,1.4,0.025,0.05,16,7,NA,700,NA,T2,0.629159472
622,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.64,0.018,35.56,1.43,0.75,1.4,0.025,0.05,16,7,NA,270,NA,T2,0.167054085
623,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.88,0.023,38.26,2.29,0.75,1.4,0.025,0.05,16,7,NA,230,NA,T2,0.637931458
624,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.26,0.026,48.46,1.97,0.75,1.4,0.025,0.05,16,7,NA,480,NA,T2,0.487413183
625,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.02,0.022,46.36,1.84,0.75,1.4,0.025,0.05,16,7,NA,480,NA,T2,0.419145212
626,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.96,0.02,48,1.94,0.75,1.4,0.025,0.05,16,7,NA,530,NA,T2,0.472067613
627,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.89,0.041,21.71,1.27,0.75,1.4,0.025,0.05,16,7,NA,640,NA,T2,0.048396541
628,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.06,0.03,35.33,1.95,0.75,1.4,0.025,0.05,16,7,NA,850,NA,T2,0.477209013
629,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.95,0.028,33.93,1.61,0.75,1.4,0.025,0.05,16,7,NA,670,NA,T2,0.285613819
630,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.05,0.043,24.42,5,0.75,1.4,0.025,0.05,16,7,NA,400,NA,T2,1.418817553
631,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.8,0.028,28.57,1.44,0.75,1.4,0.025,0.05,16,7,NA,650,NA,T2,0.174022754
632,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.87,0.028,31.07,2.33,0.75,1.4,0.025,0.05,16,7,NA,470,NA,T2,0.655247908
633,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.23,0.034,36.18,3.31,0.75,1.4,0.025,0.05,16,7,NA,430,NA,T2,1.00632783
634,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.01,0.026,38.85,3.77,0.75,1.4,0.025,0.05,16,7,NA,460,NA,T2,1.136454642
635,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.98,0.032,30.63,2.89,0.75,1.4,0.025,0.05,16,7,NA,570,NA,T2,0.870636143
636,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.1,0.014,78.57,2.6,0.75,1.4,0.025,0.05,16,7,NA,590,NA,T2,0.764891085
637,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.06,0.018,58.89,6,0.75,1.4,0.025,0.05,16,7,NA,400,NA,T2,1.60113911
638,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.98,0.016,61.25,2.82,0.75,1.4,0.025,0.05,16,7,NA,460,NA,T2,0.846116525
639,Wang41,41,Lake,Qiandaohu Lake,Eutro,1.06,0.028,37.86,10.91,0.75,1.4,0.025,0.05,16,7,NA,210,NA,T2,2.19905944
640,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.97,0.014,69.29,1.21,0.75,1.4,0.025,0.05,16,7,NA,640,NA,T2,0
641,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.13,0.017,66.47,2.71,0.75,1.4,0.025,0.05,16,7,NA,320,NA,T2,0.806328275
642,Wang41,41,Lake,Qiandaohu Lake,Eutro,1.41,0.043,32.79,17.29,0.75,1.4,0.025,0.05,16,7,NA,160,NA,T2,2.65950794
643,Wang41,41,Lake,Qiandaohu Lake,Eutro,1.48,0.038,38.95,15.91,0.75,1.4,0.025,0.05,16,7,NA,160,NA,T2,2.576327483
644,Wang41,41,Lake,Qiandaohu Lake,Eutro,1.15,0.024,47.92,7.36,0.75,1.4,0.025,0.05,16,7,NA,370,NA,T2,1.805439573
645,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.02,0.024,42.5,2.89,0.75,1.4,0.025,0.05,16,7,NA,500,NA,T2,0.870636143
646,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,1.01,0.025,40.4,2.62,0.75,1.4,0.025,0.05,16,7,NA,430,NA,T2,0.772553958
647,Wang41,41,Lake,Qiandaohu Lake,Oligo-meso,0.9,0.026,34.62,1.31,0.75,1.4,0.025,0.05,16,7,NA,570,NA,T2,0.079406778
